bug_id,"product","component","assigned_to","bug_status","resolution","opendate","changeddate"
196698,"WebKit","Images","rbuis","NEW"," ---","2019-04-08 10:39:40","2020-02-18 12:32:40"
203557,"WebKit","Images","rbuis","NEW"," ---","2019-10-29 02:25:30","2020-02-24 02:11:31"
207102,"WebKit","Page Loading","rbuis","NEW"," ---","2020-02-02 08:52:00","2020-02-07 00:19:21"
207901,"WebKit","New Bugs","rbuis","NEW"," ---","2020-02-18 11:59:35","2020-02-22 12:29:21"
187257,"WebKit","Tools / Tests","rmorisset","NEW"," ---","2018-07-02 11:04:12","2020-02-20 22:57:09"
203456,"WebKit","JavaScriptCore","rmorisset","NEW"," ---","2019-10-26 03:12:10","2020-02-06 13:28:49"
206970,"WebKit","JavaScriptCore","rmorisset","NEW"," ---","2020-01-29 14:57:01","2020-02-05 15:30:50"
208179,"WebKit","Media","rniwa","NEW"," ---","2020-02-24 22:54:57","2020-02-25 01:34:47"
204955,"WebKit","Layout and Rendering","sabouhallawa","NEW"," ---","2019-12-06 12:07:21","2020-02-24 17:51:13"
207134,"WebKit","Canvas","sabouhallawa","NEW"," ---","2020-02-03 11:01:47","2020-02-24 22:08:16"
207198,"WebKit","Canvas","sabouhallawa","NEW"," ---","2020-02-04 07:35:52","2020-02-04 13:39:28"
207221,"WebKit","Canvas","sabouhallawa","NEW"," ---","2020-02-04 13:16:58","2020-02-04 15:24:00"
207233,"WebKit","Canvas","sabouhallawa","NEW"," ---","2020-02-04 15:04:34","2020-02-13 08:15:58"
208038,"WebKit","Images","sabouhallawa","NEW"," ---","2020-02-20 16:11:14","2020-02-20 19:48:54"
208067,"WebKit","SVG","sabouhallawa","NEW"," ---","2020-02-21 11:13:26","2020-02-21 11:30:34"
208116,"WebKit","JavaScriptCore","sbarati","NEW"," ---","2020-02-23 16:00:39","2020-02-23 16:00:39"
208176,"WebKit","JavaScriptCore","sbarati","NEW"," ---","2020-02-24 22:42:25","2020-02-24 22:53:54"
208144,"WebKit","New Bugs","sihui_liu","NEW"," ---","2020-02-24 10:43:47","2020-02-24 19:11:54"
208148,"WebKit","New Bugs","sihui_liu","NEW"," ---","2020-02-24 11:28:53","2020-02-24 22:22:35"
193671,"WebKit","Scrolling","simon.fraser","NEW"," ---","2019-01-22 08:43:49","2020-02-17 14:37:11"
203776,"WebKit","Tools / Tests","simon.fraser","NEW"," ---","2019-11-01 21:42:43","2020-02-13 17:28:49"
203784,"WebKit","Tools / Tests","simon.fraser","NEW"," ---","2019-11-02 11:14:04","2020-02-13 17:29:20"
204050,"WebKit","New Bugs","simon.fraser","NEW"," ---","2019-11-09 10:44:44","2020-02-13 17:30:02"
204469,"WebKit","New Bugs","simon.fraser","NEW"," ---","2019-11-21 13:24:28","2020-02-13 17:31:03"
207870,"WebKit","New Bugs","simon.fraser","NEW"," ---","2020-02-17 16:44:19","2020-02-18 09:24:35"
207993,"WebKit","Animations","simon.fraser","NEW"," ---","2020-02-19 21:15:18","2020-02-21 09:21:51"
208070,"WebKit","Compositing","simon.fraser","NEW"," ---","2020-02-21 12:08:33","2020-02-24 10:56:32"
78011,"WebKit","WebCore Misc.","simonjam","NEW"," ---","2012-02-07 11:43:38","2020-02-06 08:34:48"
194434,"WebKit","JavaScriptCore","ticaiolima","NEW"," ---","2019-02-08 05:43:24","2020-02-13 13:12:15"
200626,"WebKit","Media","vjaquez","NEW"," ---","2019-08-12 05:57:37","2020-02-24 07:28:26"
112939,"WebKit","Tools / Tests","webkit.review.bot","NEW"," ---","2013-03-21 11:26:26","2020-02-06 14:10:12"
23113,"WebKit","SVG","webkit-unassigned","NEW"," ---","2009-01-04 20:17:43","2020-02-21 08:46:44"
50856,"WebKit","Tools / Tests","webkit-unassigned","NEW"," ---","2010-12-10 17:40:31","2020-02-24 15:03:20"
75558,"WebKit","CSS","webkit-unassigned","NEW"," ---","2012-01-04 09:59:51","2020-02-19 03:29:53"
80362,"WebKit","WebCore Misc.","webkit-unassigned","NEW"," ---","2012-03-05 17:45:26","2020-02-19 11:19:31"
84635,"WebKit","DOM","webkit-unassigned","NEW"," ---","2012-04-23 14:37:12","2020-02-21 12:01:59"
88128,"WebKit","Layout and Rendering","webkit-unassigned","NEW"," ---","2012-06-01 13:21:12","2020-02-18 15:07:39"
105870,"WebKit","Web Audio","webkit-unassigned","NEW"," ---","2012-12-30 09:43:22","2020-02-22 17:48:37"
118269,"WebKit","Layout and Rendering","webkit-unassigned","NEW"," ---","2013-07-01 17:46:53","2020-02-06 13:17:39"
119175,"WebKit","Forms","webkit-unassigned","NEW"," ---","2013-07-27 00:23:12","2020-02-16 10:02:46"
126606,"WebKit","HTML Editing","webkit-unassigned","NEW"," ---","2014-01-07 16:52:33","2020-02-04 23:02:08"
138169,"WebKit","WebKit2","webkit-unassigned","NEW"," ---","2014-10-29 04:02:25","2020-02-19 01:07:37"
139025,"WebKit","WebKitGTK","webkit-unassigned","NEW"," ---","2014-11-24 03:44:41","2020-02-08 09:03:45"
140205,"WebKit","WebKit2","webkit-unassigned","NEW"," ---","2015-01-07 14:05:45","2020-02-19 00:19:27"
141832,"WebKit","CSS","webkit-unassigned","NEW"," ---","2015-02-20 02:40:04","2020-02-06 13:39:15"
145212,"WebKit","DOM","webkit-unassigned","NEW"," ---","2015-05-20 10:41:44","2020-02-18 21:43:58"
146452,"WebKit","Accessibility","webkit-unassigned","NEW"," ---","2015-06-30 03:39:55","2020-02-17 22:17:46"
148405,"WebKit","Tools / Tests","webkit-unassigned","NEW"," ---","2015-08-24 16:36:29","2020-02-17 15:04:07"
149916,"WebKit","WebKitGTK","webkit-unassigned","NEW"," ---","2015-10-08 00:21:15","2020-02-20 05:09:38"
151815,"WebKit","WebKit Misc.","webkit-unassigned","NEW"," ---","2015-12-03 12:02:05","2020-02-19 21:31:00"
152578,"WebKit","JavaScriptCore","webkit-unassigned","NEW"," ---","2015-12-28 16:41:19","2020-02-12 06:02:05"
152598,"WebKit","WebKit Misc.","webkit-unassigned","NEW"," ---","2015-12-30 09:26:56","2020-02-19 21:37:23"
153110,"WebKit","New Bugs","webkit-unassigned","NEW"," ---","2016-01-14 15:44:08","2020-02-11 15:58:36"
153314,"WebKit","New Bugs","webkit-unassigned","NEW"," ---","2016-01-21 12:19:53","2020-02-21 09:06:21"
153503,"WebKit","Tools / Tests","webkit-unassigned","NEW"," ---","2016-01-26 12:37:07","2020-02-14 22:31:43"
154811,"WebKit","WebKit Misc.","webkit-unassigned","NEW"," ---","2016-02-29 02:13:13","2020-02-19 21:35:01"
158237,"WebKit","New Bugs","webkit-unassigned","NEW"," ---","2016-05-31 14:47:15","2020-02-18 16:57:49"
158496,"WebKit","WebKit API","webkit-unassigned","NEW"," ---","2016-06-07 14:53:30","2020-02-19 01:52:21"
158812,"WebKit","WebKit2","webkit-unassigned","NEW"," ---","2016-06-15 15:05:08","2020-02-19 01:23:53"
162057,"WebKit","WebKit Misc.","webkit-unassigned","NEW"," ---","2016-09-16 03:45:12","2020-02-19 02:39:44"
168373,"WebKit","Platform","webkit-unassigned","NEW"," ---","2017-02-15 09:06:12","2020-02-19 14:24:24"
169359,"WebKit","New Bugs","webkit-unassigned","NEW"," ---","2017-03-08 10:12:50","2020-02-07 13:26:22"
170393,"WebKit","Tools / Tests","webkit-unassigned","NEW"," ---","2017-04-02 10:24:16","2020-02-20 10:58:27"
171202,"WebKit","WebKit Misc.","webkit-unassigned","NEW"," ---","2017-04-23 14:06:44","2020-02-20 00:21:24"
173608,"WebKit","New Bugs","webkit-unassigned","NEW"," ---","2017-06-20 11:27:56","2020-02-19 08:52:07"
175067,"WebKit","WebKitGTK","webkit-unassigned","NEW"," ---","2017-08-02 04:31:21","2020-02-24 06:28:45"
175419,"WebKit","WebKitGTK","webkit-unassigned","NEW"," ---","2017-08-10 02:11:58","2020-02-24 00:59:51"
176483,"WebKit","Tools / Tests","webkit-unassigned","NEW"," ---","2017-09-06 17:00:14","2020-02-12 12:54:30"
177691,"WebKit","New Bugs","webkit-unassigned","NEW"," ---","2017-09-29 16:29:15","2020-02-10 14:07:13"
177940,"WebKit","WebKitGTK","webkit-unassigned","NEW"," ---","2017-10-05 06:05:23","2020-02-13 18:34:04"
180435,"WebKit","CSS","webkit-unassigned","NEW"," ---","2017-12-05 11:35:18","2020-02-17 19:52:45"
181821,"WebKit","New Bugs","webkit-unassigned","NEW"," ---","2018-01-18 17:09:20","2020-02-13 10:17:20"
181943,"WebKit","WebCore Misc.","webkit-unassigned","NEW"," ---","2018-01-22 13:25:10","2020-02-21 20:55:01"
181945,"WebKit","WebCore Misc.","webkit-unassigned","NEW"," ---","2018-01-22 13:39:31","2020-02-06 16:08:45"
182042,"WebKit","Text","webkit-unassigned","NEW"," ---","2018-01-24 01:59:43","2020-02-21 16:37:48"
182769,"WebKit","WebCore Misc.","webkit-unassigned","NEW"," ---","2018-02-13 22:00:21","2020-02-07 12:46:21"
183534,"WebKit","WebCore Misc.","webkit-unassigned","NEW"," ---","2018-03-09 15:54:13","2020-02-19 18:29:51"
183684,"WebKit","New Bugs","webkit-unassigned","NEW"," ---","2018-03-15 15:57:59","2020-02-05 11:53:22"
183937,"WebKit","WebCore Misc.","webkit-unassigned","NEW"," ---","2018-03-23 08:25:09","2020-02-17 07:22:17"
184031,"WebKit","WebCore Misc.","webkit-unassigned","NEW"," ---","2018-03-26 20:57:53","2020-02-11 10:01:27"
184323,"WebKit","New Bugs","webkit-unassigned","NEW"," ---","2018-04-04 17:38:10","2020-02-07 10:54:22"
184617,"WebKit","Animations","webkit-unassigned","NEW"," ---","2018-04-13 17:43:20","2020-02-07 11:28:30"
186045,"WebKit","Tools / Tests","webkit-unassigned","NEW"," ---","2018-05-28 23:34:16","2020-02-18 11:24:41"
186364,"WebKit","WebKit2","webkit-unassigned","NEW"," ---","2018-06-06 15:37:13","2020-02-20 22:36:12"
186489,"WebKit","Animations","webkit-unassigned","NEW"," ---","2018-06-11 04:36:39","2020-02-10 01:04:12"
186490,"WebKit","Animations","webkit-unassigned","NEW"," ---","2018-06-11 04:36:54","2020-02-10 01:03:30"
186491,"WebKit","Animations","webkit-unassigned","NEW"," ---","2018-06-11 04:37:07","2020-02-10 01:01:59"
186493,"WebKit","Animations","webkit-unassigned","NEW"," ---","2018-06-11 04:37:37","2020-02-10 01:01:40"
186494,"WebKit","Animations","webkit-unassigned","NEW"," ---","2018-06-11 04:37:51","2020-02-10 00:58:59"
186500,"WebKit","Animations","webkit-unassigned","NEW"," ---","2018-06-11 04:39:14","2020-02-10 00:57:36"
186509,"WebKit","Animations","webkit-unassigned","NEW"," ---","2018-06-11 04:44:07","2020-02-17 20:16:37"
187485,"WebKit","JavaScriptCore","webkit-unassigned","NEW"," ---","2018-07-09 14:49:35","2020-02-15 07:40:49"
187766,"WebKit","Tools / Tests","webkit-unassigned","NEW"," ---","2018-07-18 10:05:13","2020-02-14 08:14:08"
188360,"WebKit","WebRTC","webkit-unassigned","NEW"," ---","2018-08-06 14:34:08","2020-02-17 23:57:34"
190217,"WebKit","Layout and Rendering","webkit-unassigned","NEW"," ---","2018-10-02 13:33:28","2020-02-21 20:27:01"
190841,"WebKit","Platform","webkit-unassigned","NEW"," ---","2018-10-23 13:35:35","2020-02-18 14:22:44"
190852,"WebKit","New Bugs","webkit-unassigned","NEW"," ---","2018-10-23 17:34:00","2020-02-11 08:43:39"
191007,"WebKit","WebKitGTK","webkit-unassigned","NEW"," ---","2018-10-27 18:42:01","2020-02-05 04:06:36"
193277,"WebKit","WebCore Misc.","webkit-unassigned","NEW"," ---","2019-01-09 03:17:25","2020-02-19 20:48:51"
194162,"WebKit","Tools / Tests","webkit-unassigned","NEW"," ---","2019-02-01 09:55:58","2020-02-13 08:14:57"
194539,"WebKit","Page Loading","webkit-unassigned","NEW"," ---","2019-02-12 06:48:37","2020-02-22 16:15:59"
195180,"WebKit","CSS","webkit-unassigned","NEW"," ---","2019-02-28 12:17:42","2020-02-17 10:34:22"
195251,"WebKit","WebKitGTK","webkit-unassigned","NEW"," ---","2019-03-02 15:54:55","2020-02-15 07:15:51"
195628,"WebKit","CSS","webkit-unassigned","NEW"," ---","2019-03-12 10:01:26","2020-02-24 12:48:02"
197109,"WebKit","Tools / Tests","webkit-unassigned","NEW"," ---","2019-04-19 11:00:34","2020-02-05 09:37:36"
197592,"WebKit","WebGL","webkit-unassigned","NEW"," ---","2019-05-04 02:18:51","2020-02-23 21:12:45"
198276,"WebKit","Web Inspector","webkit-unassigned","NEW"," ---","2019-05-27 08:36:47","2020-02-20 16:35:51"
198277,"WebKit","Media","webkit-unassigned","NEW"," ---","2019-05-27 10:40:25","2020-02-20 03:04:42"
198594,"WebKit","Web Inspector","webkit-unassigned","NEW"," ---","2019-06-05 19:31:48","2020-02-04 21:54:45"
198830,"WebKit","WebKitGTK","webkit-unassigned","NEW"," ---","2019-06-13 07:22:08","2020-02-13 18:28:59"
199991,"WebKit","WebKitGTK","webkit-unassigned","NEW"," ---","2019-07-21 10:52:37","2020-02-15 09:44:26"
201096,"WebKit","Tables","webkit-unassigned","NEW"," ---","2019-08-23 15:49:14","2020-02-16 03:44:15"
201404,"WebKit","CSS","webkit-unassigned","NEW"," ---","2019-09-02 10:20:00","2020-02-08 13:37:17"
201563,"WebKit","WebKit API","webkit-unassigned","NEW"," ---","2019-09-06 14:39:46","2020-02-19 03:11:39"
202115,"WebKit","CSS","webkit-unassigned","NEW"," ---","2019-09-23 11:27:36","2020-02-19 21:44:58"
202472,"WebKit","Animations","webkit-unassigned","NEW"," ---","2019-10-02 08:56:39","2020-02-11 14:19:02"
202696,"WebKit","Layout and Rendering","webkit-unassigned","NEW"," ---","2019-10-08 09:20:10","2020-02-19 09:11:51"
202705,"WebKit","JavaScriptCore","webkit-unassigned","NEW"," ---","2019-10-08 14:04:21","2020-02-21 05:18:51"
202805,"WebKit","CSS","webkit-unassigned","NEW"," ---","2019-10-10 10:39:18","2020-02-22 17:28:52"
203416,"WebKit","Animations","webkit-unassigned","NEW"," ---","2019-10-25 08:17:09","2020-02-13 16:56:07"
203783,"WebKit","Tools / Tests","webkit-unassigned","NEW"," ---","2019-11-02 10:44:45","2020-02-13 16:38:01"
