change_id;revision-id;filename;line;start_line;end_line;LOC;message
gromacs~master~Iaea914a474195f214ca860f7345f6878b9a04813;d7ef7219a30f538d600919b7ea9634d1507c6cd4;src/gromacs/gpu_utils/tests/gpu_utils.cpp;4;0;0; * Copyright (c) 2017,2018,2019, by the GROMACS development team, led by;2020 only
gromacs~master~Iaea914a474195f214ca860f7345f6878b9a04813;d7ef7219a30f538d600919b7ea9634d1507c6cd4;src/gromacs/gpu_utils/tests/gpu_utils.cpp;4;0;0; * Copyright (c) 2017,2018,2019, by the GROMACS development team, led by;Copy-paste failure. Fixed.
gromacs~master~Iaea914a474195f214ca860f7345f6878b9a04813;d7ef7219a30f538d600919b7ea9634d1507c6cd4;src/gromacs/gpu_utils/tests/gpu_utils.cpp;74;0;0;};good
gromacs~master~Iaea914a474195f214ca860f7345f6878b9a04813;77dec6d1a7d037892c59a3e0b512aba38f74b44f;src/gromacs/ewald/pme_gpu_internal.cpp;1541;1538;1541;/*! \brief Return pointer to device copy of coordinate data.;Otherwise doxygen-full produces warnings. Not sure why.
gromacs~master~Iaea914a474195f214ca860f7345f6878b9a04813;77dec6d1a7d037892c59a3e0b512aba38f74b44f;src/gromacs/ewald/pme_gpu_internal.cpp;1541;1538;1541; * \param[in] pmeGpu         The PME GPU structure.;Otherwise doxygen-full produces warnings. Not sure why.
gromacs~master~Iaea914a474195f214ca860f7345f6878b9a04813;77dec6d1a7d037892c59a3e0b512aba38f74b44f;src/gromacs/ewald/pme_gpu_internal.cpp;1541;1538;1541; * \returns                  Pointer to coordinate data;Otherwise doxygen-full produces warnings. Not sure why.
gromacs~master~Iaea914a474195f214ca860f7345f6878b9a04813;77dec6d1a7d037892c59a3e0b512aba38f74b44f;src/gromacs/ewald/pme_gpu_internal.cpp;1541;1538;1541;/*! \brief Return pointer to device copy of coordinate data.;Ok. I will keep this here than. It is a copy-paste from the header.
gromacs~master~Iaea914a474195f214ca860f7345f6878b9a04813;77dec6d1a7d037892c59a3e0b512aba38f74b44f;src/gromacs/ewald/pme_gpu_internal.cpp;1541;1538;1541; * \param[in] pmeGpu         The PME GPU structure.;Ok. I will keep this here than. It is a copy-paste from the header.
gromacs~master~Iaea914a474195f214ca860f7345f6878b9a04813;77dec6d1a7d037892c59a3e0b512aba38f74b44f;src/gromacs/ewald/pme_gpu_internal.cpp;1541;1538;1541; * \returns                  Pointer to coordinate data;Ok. I will keep this here than. It is a copy-paste from the header.
gromacs~master~Iaea914a474195f214ca860f7345f6878b9a04813;77dec6d1a7d037892c59a3e0b512aba38f74b44f;src/gromacs/ewald/pme_gpu_internal.cpp;1541;1538;1541;/*! \brief Return pointer to device copy of coordinate data.;The practice of providing stubs with macros confuses doxygen about whether this function got documented in the header, particularly now that the declaration line has to wrap.
gromacs~master~Iaea914a474195f214ca860f7345f6878b9a04813;77dec6d1a7d037892c59a3e0b512aba38f74b44f;src/gromacs/ewald/pme_gpu_internal.cpp;1541;1538;1541; * \param[in] pmeGpu         The PME GPU structure.;The practice of providing stubs with macros confuses doxygen about whether this function got documented in the header, particularly now that the declaration line has to wrap.
gromacs~master~Iaea914a474195f214ca860f7345f6878b9a04813;77dec6d1a7d037892c59a3e0b512aba38f74b44f;src/gromacs/ewald/pme_gpu_internal.cpp;1541;1538;1541; * \returns                  Pointer to coordinate data;The practice of providing stubs with macros confuses doxygen about whether this function got documented in the header, particularly now that the declaration line has to wrap.
gromacs~master~Iaea914a474195f214ca860f7345f6878b9a04813;77dec6d1a7d037892c59a3e0b512aba38f74b44f;src/gromacs/mdtypes/state_propagator_data_gpu_impl.cpp;103;0;0;    return DeviceBuffer<RVec>{}_;Avoiding the need to change the return statement is a good reason for using _  _  return {}_
gromacs~master~Iaea914a474195f214ca860f7345f6878b9a04813;77dec6d1a7d037892c59a3e0b512aba38f74b44f;src/gromacs/mdtypes/state_propagator_data_gpu_impl.cpp;103;0;0;    return DeviceBuffer<RVec>{}_;Done here and below.
gromacs~master~Iaea914a474195f214ca860f7345f6878b9a04813;77dec6d1a7d037892c59a3e0b512aba38f74b44f;src/gromacs/nbnxm/cuda/nbnxm_cuda.cu;941;0;0;               "device-side counterpart.")_;asserting on this kind of thing makes sense, but it needs to be true regardless of exactly which run mode we're in, and it is known to be true at compile time. I suggest a static assertion on sizeof(gmx::RVec), sizeof(rvec) and sizeof(float3) somewhere in gpu_utils
gromacs~master~Iaea914a474195f214ca860f7345f6878b9a04813;77dec6d1a7d037892c59a3e0b512aba38f74b44f;src/gromacs/nbnxm/cuda/nbnxm_cuda.cu;941;0;0;               "device-side counterpart.")_;> The particular bug you mentioned is avoided through having been able to use the correct template type with DeviceBuffer in the first place... _  _ Yes. I think we made a decision to use compatible CPU types and cast into the GPU vector types either right before or in the beginning of the kernel. The second solution would be to forward-declare specific GPU types as, e.g. real3. See my suggestions on this topic here: https://redmine.gromacs.org/issues/3312 _  _ I've changed GMX_ASSERT to static_assert everywhere in this patch. Thanks for the hint!
gromacs~master~Iaea914a474195f214ca860f7345f6878b9a04813;77dec6d1a7d037892c59a3e0b512aba38f74b44f;src/gromacs/nbnxm/cuda/nbnxm_cuda.cu;941;0;0;               "device-side counterpart.")_;Moved assertions to newly created converting function. Added tests on layout for a good measure.
gromacs~master~Iaea914a474195f214ca860f7345f6878b9a04813;77dec6d1a7d037892c59a3e0b512aba38f74b44f;src/gromacs/nbnxm/cuda/nbnxm_cuda.cu;941;0;0;               "device-side counterpart.")_;OK, it makes sense to structure a check around the type of totalForcesDevice[0] because that could be changed in a way that makes a bug. But that's a type, so it's known at compile time. Don't confuse the size of the base type of a C array (which can't be zero) with the size of the array (which can be, whether or not the address is nullptr). _  _ For the things we're talking about, sizeof acts at compile time. So can and should be used in a static assert. It is not necessary that totalForcesDevice is non-null at run time for a compile-time check to be true. Thus, replace this run-time assert with _  _  static_assert(sizeof(totalForcesDevice[0] == sizeof(float3), "...")_ _  _ and similarly in other places. (More generally, the C++ decltype thing can be used to refer to the type of a variable even when you don't know what it is.) _  _ The particular bug you mentioned is avoided through having been able to use the correct template type with DeviceBuffer in the first place, but there's another aspect to it. The MPI_Send/Recv pair should also unpack the address into a 3-tuple type. In principle, one could have a test source file that had a static_assert that sizeof(reciever.d_x[0]) == sizeof(sender.d_x[0]), but it has to be able to see both declarations, which might require creativity with impl.h files. That's easier if the send and receive comes from a member of a struct, so that sizeof(TheClass.d_x_) works. Finding the type of a function argument is more complicated, see https://stackoverflow.com/questions/43526647/decltype-of-function-parameter
gromacs~master~Iaea914a474195f214ca860f7345f6878b9a04813;77dec6d1a7d037892c59a3e0b512aba38f74b44f;src/gromacs/nbnxm/cuda/nbnxm_cuda.cu;941;0;0;               "device-side counterpart.")_;can we do sizeof(totalForcesDevice[0]) on the compile time though? I don't quite understand what totalForcesDevice[0] will be doing in this case.
gromacs~master~Iaea914a474195f214ca860f7345f6878b9a04813;77dec6d1a7d037892c59a3e0b512aba38f74b44f;src/gromacs/nbnxm/cuda/nbnxm_cuda.cu;941;0;0;               "device-side counterpart.")_;https://godbolt.org/z/88Jm3d _  _ You're worried about de-referencing a pointer that can be null. That's only a problem if you use the result for an operation (e.g. a load). Sizeof only uses the type.
gromacs~master~Iaea914a474195f214ca860f7345f6878b9a04813;77dec6d1a7d037892c59a3e0b512aba38f74b44f;src/gromacs/nbnxm/cuda/nbnxm_cuda.cu;941;0;0;               "device-side counterpart.")_;casting in kernels seems best, commented there.
gromacs~master~Iaea914a474195f214ca860f7345f6878b9a04813;77dec6d1a7d037892c59a3e0b512aba38f74b44f;src/gromacs/nbnxm/cuda/nbnxm_cuda.cu;941;0;0;               "device-side counterpart.")_;I think this slightly defeats the purpose. Here, we explicitly check that the function argument is compatible with the cast. This will have to be reconsidered, if the type of the argument will change along the way. The change in argument to, e.g. double[3], will not fail the check of sizeof(RVec) == sizeof(float3), even if the latter exists somewhere else in the code. I vote for keeping these asserts at least until we have a rock-solid decision on what data types to use where. _  _ Example where having such an assert would help: https://gerrit.gromacs.org/#/c/gromacs/+/15239/
gromacs~master~Iaea914a474195f214ca860f7345f6878b9a04813;77dec6d1a7d037892c59a3e0b512aba38f74b44f;src/gromacs/nbnxm/cuda/nbnxm_cuda.cu;941;0;0;               "device-side counterpart.")_;So this and several other new run-time assertions can go away
gromacs~master~Iaea914a474195f214ca860f7345f6878b9a04813;77dec6d1a7d037892c59a3e0b512aba38f74b44f;src/gromacs/nbnxm/cuda/nbnxm_cuda.cu;942;0;0;    float3*    d_fTotal = (float3*)totalForcesDevice_;http://isocpp.github.io/CppCoreGuidelines/CppCoreGuidelines#Res-casts-named
gromacs~master~Iaea914a474195f214ca860f7345f6878b9a04813;77dec6d1a7d037892c59a3e0b512aba38f74b44f;src/gromacs/nbnxm/cuda/nbnxm_cuda.cu;942;0;0;    float3*    d_fTotal = (float3*)totalForcesDevice_;Not at all, those examples are like _  _  float3 asFloat3(RVec *in) _  { _    return reinterpret_cast<float3>(in)_ _  } _  _ which of course should have unit tests that we get the behaviour we expect from the fields of float3 and RVec. They can also have the static_assert buried inside them. _  _ Now we can have the elegant, readable and safe cast like _  _  float3 d_fTotal = asFloat3(totalForcesDevice)_ _  _ Likewise rvec, and any LJ param int2-like type.
gromacs~master~Iaea914a474195f214ca860f7345f6878b9a04813;77dec6d1a7d037892c59a3e0b512aba38f74b44f;src/gromacs/nbnxm/cuda/nbnxm_cuda.cu;942;0;0;    float3*    d_fTotal = (float3*)totalForcesDevice_;If i got it right, this will require to create an extra CUDA-specific constructor for the RVec. I don't think that this worth it. Will think about it.
gromacs~master~Iaea914a474195f214ca860f7345f6878b9a04813;77dec6d1a7d037892c59a3e0b512aba38f74b44f;src/gromacs/nbnxm/cuda/nbnxm_cuda.cu;942;0;0;    float3*    d_fTotal = (float3*)totalForcesDevice_;Overlooked this. Fixed now. Is there a way to make "controlled" static_cast<float3>(Rvec) possible? This would help with assertions as well.
gromacs~master~Iaea914a474195f214ca860f7345f6878b9a04813;77dec6d1a7d037892c59a3e0b512aba38f74b44f;src/gromacs/nbnxm/cuda/nbnxm_cuda.cu;942;0;0;    float3*    d_fTotal = (float3*)totalForcesDevice_;Ah. Pk. I was locked into thinking on overriding the static_cast<float3*>(RVec* in). Which is stupid now I think about it. _  _ Yes. The type-compatibility test should be added as well. Including testing that the actual layout is the same, not only the size. WIP.
gromacs~master~Iaea914a474195f214ca860f7345f6878b9a04813;77dec6d1a7d037892c59a3e0b512aba38f74b44f;src/gromacs/nbnxm/cuda/nbnxm_cuda.cu;942;0;0;    float3*    d_fTotal = (float3*)totalForcesDevice_;Done.
gromacs~master~Iaea914a474195f214ca860f7345f6878b9a04813;77dec6d1a7d037892c59a3e0b512aba38f74b44f;src/gromacs/nbnxm/cuda/nbnxm_cuda.cu;942;0;0;    float3*    d_fTotal = (float3*)totalForcesDevice_;Sure, see examples at bottom of vectypes.h. Obviously these new ones would have to be in a CUDA-specific header somewhere.
gromacs~master~Iaea914a474195f214ca860f7345f6878b9a04813;c5c220a03663d975e31e8573c1849247ce3f8ad0;src/gromacs/gpu_utils/tests/gpu_utils.cpp;64;52;64;#    define __CUDA_ARCH__ -1;This contraption is faulty as far as I can tell. Moving asFloat3(...) to a separate header.
gromacs~master~Iaea914a474195f214ca860f7345f6878b9a04813;c5c220a03663d975e31e8573c1849247ce3f8ad0;src/gromacs/gpu_utils/tests/gpu_utils.cpp;64;52;64;#    include <cuda_runtime.h>;This contraption is faulty as far as I can tell. Moving asFloat3(...) to a separate header.
gromacs~master~Iaea914a474195f214ca860f7345f6878b9a04813;c5c220a03663d975e31e8573c1849247ce3f8ad0;src/gromacs/gpu_utils/tests/gpu_utils.cpp;64;52;64;#    undef __CUDA_ARCH__;This contraption is faulty as far as I can tell. Moving asFloat3(...) to a separate header.
gromacs~master~Iaea914a474195f214ca860f7345f6878b9a04813;c5c220a03663d975e31e8573c1849247ce3f8ad0;src/gromacs/gpu_utils/tests/gpu_utils.cpp;64;52;64;#else;This contraption is faulty as far as I can tell. Moving asFloat3(...) to a separate header.
gromacs~master~Iaea914a474195f214ca860f7345f6878b9a04813;c5c220a03663d975e31e8573c1849247ce3f8ad0;src/gromacs/gpu_utils/tests/gpu_utils.cpp;64;52;64;#    include <cuda_runtime.h>;This contraption is faulty as far as I can tell. Moving asFloat3(...) to a separate header.
gromacs~master~Iaea914a474195f214ca860f7345f6878b9a04813;c5c220a03663d975e31e8573c1849247ce3f8ad0;src/gromacs/gpu_utils/tests/gpu_utils.cpp;64;52;64;#endif;This contraption is faulty as far as I can tell. Moving asFloat3(...) to a separate header.
gromacs~master~Iaea914a474195f214ca860f7345f6878b9a04813;c5c220a03663d975e31e8573c1849247ce3f8ad0;src/gromacs/gpu_utils/tests/gpu_utils.cpp;64;52;64;#include <gtest/gtest.h>;This contraption is faulty as far as I can tell. Moving asFloat3(...) to a separate header.
gromacs~master~Iaea914a474195f214ca860f7345f6878b9a04813;c5c220a03663d975e31e8573c1849247ce3f8ad0;src/gromacs/gpu_utils/tests/gpu_utils.cpp;64;52;64;;This contraption is faulty as far as I can tell. Moving asFloat3(...) to a separate header.
gromacs~master~Iaea914a474195f214ca860f7345f6878b9a04813;c5c220a03663d975e31e8573c1849247ce3f8ad0;src/gromacs/gpu_utils/tests/gpu_utils.cpp;64;52;64;#include "gromacs/gpu_utils/cudautils.cuh";This contraption is faulty as far as I can tell. Moving asFloat3(...) to a separate header.
gromacs~master~Iaea914a474195f214ca860f7345f6878b9a04813;c5c220a03663d975e31e8573c1849247ce3f8ad0;src/gromacs/gpu_utils/tests/gpu_utils.cpp;64;52;64;#include "gromacs/math/vectypes.h";This contraption is faulty as far as I can tell. Moving asFloat3(...) to a separate header.
gromacs~master~Iaea914a474195f214ca860f7345f6878b9a04813;c5c220a03663d975e31e8573c1849247ce3f8ad0;src/gromacs/gpu_utils/tests/gpu_utils.cpp;64;52;64;#include "gromacs/utility/real.h";This contraption is faulty as far as I can tell. Moving asFloat3(...) to a separate header.
gromacs~master~Iaea914a474195f214ca860f7345f6878b9a04813;c5c220a03663d975e31e8573c1849247ce3f8ad0;src/gromacs/gpu_utils/tests/gpu_utils.cpp;64;52;64;;This contraption is faulty as far as I can tell. Moving asFloat3(...) to a separate header.
gromacs~master~Iaea914a474195f214ca860f7345f6878b9a04813;c5c220a03663d975e31e8573c1849247ce3f8ad0;src/gromacs/gpu_utils/tests/gpu_utils.cpp;64;52;64;#    define __CUDA_ARCH__ -1;I think this line should be moved above  _ #include "gromacs/gpu_utils/cudautils.cuh" _ so this CUDA header is only included in CUDA builds. Then  _ #    include <cuda_runtime.h> _ shouldn't be needed at all, if I understand correctly.
gromacs~master~Iaea914a474195f214ca860f7345f6878b9a04813;c5c220a03663d975e31e8573c1849247ce3f8ad0;src/gromacs/gpu_utils/tests/gpu_utils.cpp;64;52;64;#    include <cuda_runtime.h>;I think this line should be moved above  _ #include "gromacs/gpu_utils/cudautils.cuh" _ so this CUDA header is only included in CUDA builds. Then  _ #    include <cuda_runtime.h> _ shouldn't be needed at all, if I understand correctly.
gromacs~master~Iaea914a474195f214ca860f7345f6878b9a04813;c5c220a03663d975e31e8573c1849247ce3f8ad0;src/gromacs/gpu_utils/tests/gpu_utils.cpp;64;52;64;#    undef __CUDA_ARCH__;I think this line should be moved above  _ #include "gromacs/gpu_utils/cudautils.cuh" _ so this CUDA header is only included in CUDA builds. Then  _ #    include <cuda_runtime.h> _ shouldn't be needed at all, if I understand correctly.
gromacs~master~Iaea914a474195f214ca860f7345f6878b9a04813;c5c220a03663d975e31e8573c1849247ce3f8ad0;src/gromacs/gpu_utils/tests/gpu_utils.cpp;64;52;64;#else;I think this line should be moved above  _ #include "gromacs/gpu_utils/cudautils.cuh" _ so this CUDA header is only included in CUDA builds. Then  _ #    include <cuda_runtime.h> _ shouldn't be needed at all, if I understand correctly.
gromacs~master~Iaea914a474195f214ca860f7345f6878b9a04813;c5c220a03663d975e31e8573c1849247ce3f8ad0;src/gromacs/gpu_utils/tests/gpu_utils.cpp;64;52;64;#    include <cuda_runtime.h>;I think this line should be moved above  _ #include "gromacs/gpu_utils/cudautils.cuh" _ so this CUDA header is only included in CUDA builds. Then  _ #    include <cuda_runtime.h> _ shouldn't be needed at all, if I understand correctly.
gromacs~master~Iaea914a474195f214ca860f7345f6878b9a04813;c5c220a03663d975e31e8573c1849247ce3f8ad0;src/gromacs/gpu_utils/tests/gpu_utils.cpp;64;52;64;#endif;I think this line should be moved above  _ #include "gromacs/gpu_utils/cudautils.cuh" _ so this CUDA header is only included in CUDA builds. Then  _ #    include <cuda_runtime.h> _ shouldn't be needed at all, if I understand correctly.
gromacs~master~Iaea914a474195f214ca860f7345f6878b9a04813;c5c220a03663d975e31e8573c1849247ce3f8ad0;src/gromacs/gpu_utils/tests/gpu_utils.cpp;64;52;64;#include <gtest/gtest.h>;I think this line should be moved above  _ #include "gromacs/gpu_utils/cudautils.cuh" _ so this CUDA header is only included in CUDA builds. Then  _ #    include <cuda_runtime.h> _ shouldn't be needed at all, if I understand correctly.
gromacs~master~Iaea914a474195f214ca860f7345f6878b9a04813;c5c220a03663d975e31e8573c1849247ce3f8ad0;src/gromacs/gpu_utils/tests/gpu_utils.cpp;64;52;64;;I think this line should be moved above  _ #include "gromacs/gpu_utils/cudautils.cuh" _ so this CUDA header is only included in CUDA builds. Then  _ #    include <cuda_runtime.h> _ shouldn't be needed at all, if I understand correctly.
